X,Y,month,day,rain,area_boxcox,FFMC_boxcox,DMC_boxcox,DC_boxcox,ISI_boxcox,temp_boxcox,RH_boxcox,wind_boxcox
9,9,jul,tue,0.0,-1.0544649781076054,3.4486374234485348e+25,19.54469606906147,7186.4590348260535,2.0152694339491397,39.9043339565163,3.6774153841180746,1.2355601267200802
1,4,sep,tue,0.0,-0.8662803798283659,7.766626202833967e+25,39.97682215810016,26175.93022495804,3.458119000581325,52.02990182698086,3.580499058130923,0.9365055862589814
2,5,sep,mon,0.0,-0.7728452285076711,7.649691699515892e+25,39.31306508271053,25801.172108730516,3.458119000581325,52.71043759927629,3.6056606804890197,0.6676482206601162
1,2,aug,wed,0.0,-0.6089750003450236,1.5116701720724533e+26,33.192873530113104,16062.335299966831,5.639004009150818,57.54271507682801,3.3830817335995182,2.1053377670223967
8,6,aug,fri,0.0,-0.5018941314103048,6.7713262662558725e+25,35.10498788173898,16912.48604063925,5.42076383954007,50.339476458626656,3.8651863188409012,3.6035022472698772
1,2,jul,sat,0.0,-0.3461265399262304,6.6683658811016275e+25,20.434904815805094,6558.304310264315,4.12265712679771,35.5589917470807,3.9023498683648414,2.4643816699308223
2,5,aug,wed,0.0,-0.26347885526945186,1.5116701720724533e+26,33.192873530113104,16062.335299966831,5.639004009150818,59.297055700258895,3.413889555243528,2.4643816699308223
6,5,aug,thu,0.0,-0.10570296191871006,1.447450453984085e+26,40.46054159754836,19535.75797924259,4.73005489133514,72.35172139776898,3.0497559668738545,1.8877393382308485
5,4,mar,mon,0.0,-0.05137436726527337,6.7713262662558725e+25,16.891045513604855,882.5481931161045,3.1199323718571574,25.618552131402254,3.630179746721439,2.4643816699308223
8,3,sep,tue,0.0,-0.040873333764953265,2.7483117830247705e+25,26.56302988037023,24912.7195024762,1.6222664754430396,60.711125726358134,3.2842578604848165,1.7021020222851393
2,2,aug,tue,0.0,0.06751793328055379,1.3657565590166945e+26,35.17493299313301,23431.30941091772,6.741464995139855,38.02495197364952,3.7001889828176284,2.9266813177556834
8,6,sep,thu,0.0,0.11293425760552524,1.162617476804634e+26,28.50557941201076,25721.575840662495,6.985477423148986,58.94500509030072,3.1741203882121782,2.1053377670223967
6,5,jun,fri,0.0,0.17302516693610676,9.731951523759622e+25,21.912050813803837,12185.983072849924,3.499122009477584,57.19362828102113,3.6056606804890197,2.4643816699308223
9,9,jul,sun,0.0,0.30459263453043356,6.7713262662558725e+25,25.287377631755056,8813.60855099807,3.5398622292955166,62.849673178021035,3.318338983825566,0.9365055862589814
3,4,jul,sat,0.0,0.3537652153656886,6.7713262662558725e+25,20.40549659646329,11767.036546955542,3.1199323718571574,62.134513691126166,3.7001889828176284,0.6676482206601162
5,4,sep,fri,0.0,0.37406205250272895,1.2696533161636033e+26,29.568842796815826,26157.450685214586,6.435068736233496,46.67636811177655,3.786233115562632,2.2695817690752103
1,5,sep,sat,0.0,0.37406205250272895,1.112296963426395e+26,43.41843796982865,27973.332590754937,3.8955180525504463,80.67824750624195,3.2489261487549617,1.2355601267200802
7,4,aug,sun,0.0,0.43865398479580014,1.3657565590166945e+26,35.17493299313301,23431.30941091772,6.741464995139855,34.949758574917006,3.786233115562632,0.27753801902834263
2,4,sep,sat,0.0,0.4693205786044083,1.112296963426395e+26,43.41843796982865,27973.332590754937,3.8955180525504463,76.86181965902558,3.2489261487549617,0.9365055862589814
2,2,aug,wed,0.0,0.4813051477578104,9.167089505188929e+25,35.847996938627894,23845.890423213456,4.450362434612739,41.17120889598714,3.744175748308774,1.7021020222851393
2,4,aug,wed,0.0,0.4872390270551013,9.167089505188929e+25,35.847996938627894,23845.890423213456,4.450362434612739,47.99942290894446,3.500800048353814,1.8877393382308485
7,4,sep,fri,0.0,0.5163435394289121,9.587786698456683e+25,37.38252045770364,24677.433695372758,5.325528668113975,43.092085231951636,3.4726938709281194,2.6128644620371264
7,4,mar,mon,0.0,0.5500855468733695,6.7713262662558725e+25,16.891045513604855,882.5481931161045,3.1199323718571574,34.0414375401234,3.318338983825566,1.4524970069882932
6,4,aug,thu,0.0,0.6293378187302194,1.447450453984085e+26,40.46054159754836,19535.75797924259,4.73005489133514,47.33660066362929,3.6540881278668564,1.8877393382308485
6,3,mar,sat,0.0,0.6493518596142515,7.308612604056111e+25,20.0808170727294,1123.2532937987414,3.779069753380399,31.35698559294537,3.3830817335995182,3.4882776302316127
8,6,sep,sat,0.0,0.6542869417145244,9.731951523759622e+25,38.10581769060935,25063.997256157916,4.085309190236916,39.275063757251914,3.955523257887189,0.6676482206601162
8,5,sep,sun,0.0,0.6833444600493445,6.368131309923674e+25,30.788916253148336,26906.78485188047,2.4758419080612777,39.275063757251914,4.128542936817414,0.9365055862589814
6,5,mar,thu,0.0,0.7432633616504583,2.981674015182249e+25,9.26496697584765,420.76130458656473,1.5029280724724479,6.642311280772813,4.170760545300157,2.1053377670223967
6,5,aug,wed,0.0,0.8077747860967932,9.167089505188929e+25,35.847996938627894,23845.890423213456,4.450362434612739,35.5589917470807,3.786233115562632,-0.10303827480947149
6,5,aug,wed,0.0,0.89469827934388,1.624605987504204e+26,39.446204621043684,19081.164728015123,6.603351931150893,57.89239768624445,3.44374115351844,2.1053377670223967
6,5,mar,fri,0.0,0.9021958420901478,8.005485102649084e+25,19.54469606906147,1076.2005639118215,5.42076383954007,29.60190444927042,3.212249005108136,3.7434185897240724
8,6,aug,thu,0.0,0.9096307489765291,1.447450453984085e+26,40.46054159754836,19535.75797924259,4.73005489133514,48.66481959127871,3.744175748308774,0.9365055862589814
5,4,sep,wed,0.0,0.9170040089086,1.0328954114496804e+26,40.81076058533731,26608.549669601,4.3065281993821305,52.71043759927629,3.500800048353814,0.6676482206601162
8,6,aug,wed,0.0,0.9600025566778376,3.339360971200131e+25,30.88758980182212,21258.575236564233,3.2913663523506855,38.02495197364952,3.84604948278695,1.8877393382308485
7,4,aug,sun,0.0,0.9773210049692269,8.251142470856664e+25,42.77840968249686,20794.415339298837,4.798426446495748,46.67636811177655,3.6056606804890197,2.4643816699308223
4,4,sep,mon,0.0,1.083825126927051,7.649691699515892e+25,39.31306508271053,25801.172108730516,3.458119000581325,38.9614786511079,3.6056606804890197,0.9365055862589814
